name - bundled - minified
IPFS - 1684,11 - 661,26
bitswap - 683,51 - 231,75
block - 723,48 - 249,85
bootstrap - 684,34 - 232,01
commands - 682,59 - 231,38
config - 685,58 - 232,72
dht - 687,22 - 233,03
diag - 683,67 - 231,80
files - 1119,09 - 403,92
id - 683,01 - 231,57
key - 683,29 - 231,65
log - 684,11 - 232,00
ls - 682,71 - 231,42
mount - 682,89 - 231,49
name - 683,33 - 231,68
object - 922,37 - 340,19
pin - 684,22 - 232,01
ping - 683,30 - 231,52
pubsub - 739,11 - 249,16
refs - 683,10 - 231,57
repo - 683,27 - 231,64
swarm - 1322,89 - 526,65
update - 683,16 - 231,58
version - 682,92 - 231,51
